"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/1999","11,100.62","10,963.84","11,100.61","10,963.84","87.58M","1.25%"
"08/19/1999","10,963.84","10,988.85","10,995.50","10,873.29","87.21M","-0.25%"
"08/18/1999","10,991.39","11,109.66","11,110.92","10,982.84","85.32M","-1.13%"
"08/17/1999","11,117.08","11,049.64","11,117.08","11,011.65","84.28M","0.64%"
"08/16/1999","11,046.80","10,980.11","11,046.79","10,950.86","65.13M","0.67%"
"08/13/1999","10,973.66","10,786.70","10,981.89","10,786.70","77.85M","1.71%"
"08/12/1999","10,789.39","10,785.65","10,900.83","10,780.84","71.31M","0.01%"
"08/11/1999","10,787.81","10,650.59","10,795.72","10,646.91","85.16M","1.25%"
"08/10/1999","10,655.15","10,704.22","10,714.67","10,549.08","98.92M","-0.49%"
"08/09/1999","10,707.71","10,714.03","10,761.84","10,683.32","81.31M","-0.06%"
"08/06/1999","10,714.04","10,792.58","10,818.20","10,653.25","84.82M","-0.74%"
"08/05/1999","10,793.82","10,675.41","10,798.25","10,566.18","102.81M","1.12%"
"08/04/1999","10,674.78","10,675.66","10,829.91","10,670.03","88.66M","-0.02%"
"08/03/1999","10,677.31","10,645.96","10,727.97","10,613.99","76.71M","0.29%"
"08/02/1999","10,645.97","10,654.83","10,791.60","10,615.25","68.67M","-0.09%"
"07/30/1999","10,655.15","10,791.29","10,825.80","10,647.86","82.55M","-1.26%"
"07/29/1999","10,791.29","10,971.36","10,971.36","10,714.03","74.60M","-1.65%"
"07/28/1999","10,972.08","10,970.80","11,023.99","10,925.85","65.37M","-0.06%"
"07/27/1999","10,979.04","10,862.84","11,031.28","10,862.84","73.55M","1.07%"
"07/26/1999","10,863.16","10,907.80","10,929.33","10,831.81","69.27M","-0.44%"
"07/23/1999","10,910.97","10,969.22","11,006.58","10,861.89","64.99M","-0.53%"
"07/22/1999","10,969.22","11,002.78","11,044.26","10,880.25","84.31M","-0.31%"
"07/21/1999","11,002.78","10,998.94","11,055.97","10,945.48","85.19M","0.06%"
"07/20/1999","10,996.14","11,188.00","11,188.63","10,969.54","88.32M","-1.71%"
"07/19/1999","11,187.68","11,209.84","11,252.27","11,159.82","79.78M","-0.20%"
